,,Ai nói?,Expert,,,UGC,,,,,,,,,,,,
P_Level,"Trình độ, mong muốn của bé
Mong muốn của PH",Pain point,Giáo viên,Pianist,Influencer,H4 2 tay,,,,H4 tính cách con,,,PH nhà ng ta,,,,,
,,,,,,,,,,,,,"So sánh chi phí, thời gian",,,,,So sánh motivation
A4,"Bé 0, (không rõ) muốn học k
PH muốn bé học",Thấy bé lướt đthoai vô bổ nhiều -> Muốn con cải thiện thói quen,,,,,,"Bo 3
Thành quả sau 1 tháng học, không đọc sheet (ode to joy)","Bo 4
con chơi được bài hát sau 2 tuần tập","Bo2
Không gì bằng con chủ động học đàn","Bo 6
Thành quả sau 3 tháng + con ngoan hơn",,,,,,,
,,Đưa con đi học (hè) vì thấy ai cũng cho con học đàn,,,,"Jun_dai_H2
Jun học 2 tháng với app Simpia chơi đc như video","YenNgoc_8tuoi
YN chơi Toi thấy hoa vàng trên cỏ xanh","KhanhVy_9tuoi
KV chơi Always with me",,"Bo1
Dùng đthoai đúng cách",,,,,,,,
,,"Bé < 6 tuổi, học để con phát triển con người, 2 bán cầu,..",,,,,BeCam_5tuoi_Alwayswithme,BéCam_WindyHills,,,,,,,,,,
,,"Bé > 6 tuổi, học để con phát triển con người, 2 bán cầu,..",,,,"Bo_Nơi này có anh
hè năng động",,,,BeCam_kiên nhẫn ,BeBo_con tự tin (Carousel) ,V74_Thukhoa,,,,,,
,,"Bé tăng động quá, học để kiềm chế con",,,,,,,,,,V64_BoEQ_P11_H2,,,,,,
,"Bé 0, muốn học
PH có muốn/ không biết","Nhà có đàn sẵn, con thích nghịch linh tinh, nhưng sợ cách nghịch hiện tại k đúng nhạc lý, ảnh hưởng đến sự phát triển của con",,,,,,,,,,,,,,,,
,,"Nhà có đàn sẵn, bé nói bé muốn học, nhưng gđình k có ability để chọn option khác",,,,,"Bo9_Twinkle
Nhà k có điều kiện, mẹ k biết đàn thì con học tnao",,,,,,V74_HR_Sosanhchiphi_Truyenthong_Blackfriday,,,,,
,"Bé 0.25, (không rõ) muốn học k
PH muốn bé học tốt hơn","Đang học trung tâm nhưng con có vẻ k thích, muốn tìm cách khác",,,,,,,,,,,,,anhsosanh_trungtam,anhsosanh_gvien1-1,anhdungthu,
,,"Đang học trung tâm, nhưng con tiến bộ chậm, vẫn bập bẹ lắm, muốn tìm cách hỗ trợ",,,,,,,,,,,,,,,,
,,"Đang học, sắp vào năm học, gđình k có ability để con duy trì (k có tiền, k đưa đón đc,..), muốn tìm cách khác",,,,,"Bo5
Twinkle Twinkle Little Star
duy trì trong năm học",,,,,,KB2,V56_NB+VTV_Short_Persona12_Nhanh,,,,
,"Bé 0.5
PH muốn bé học tốt hơn","Đang học, giáo viên/ trung tâm nghỉ dạy, bé thích, muốn bé duy trì tiếp",,,,,,,,,,,,,,,,
,,"Đang học, thấy app hay, coi như là PP luyện tập thêm",,,,Khoi_H4_NhatKyCuaMe,,,,,,,,,,,,
,"Bé 0/ 0.25/ 0.5
PH 0/ 0.25/ 0.5
PH và bé cùng muốn học","Nhà nhiều người học (2 con/ hoặc 1 mẹ 1 con)
Chi phí rẻ cho 2 người học",,,,,,,,,,,,,,,,
A5,"Bé 0, (không rõ) muốn học k
PH muốn bé học",Không rõ học như thế nào? Có dễ không?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Bé 0, muốn học
PH có muốn/ không biết",Không rõ có phải học piano thật không? Hay là để chơi? Có học với đàn thật được không?,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Bé 0.25, (không rõ) muốn học k
PH muốn bé học tốt hơn",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Bé 0.5
PH muốn bé học tốt hơn",,,,,,,,,,,,,,,,,
,"Bé 0/ 0.25/ 0.5
PH 0/ 0.25/ 0.5
PH và bé cùng muốn học",,,,,,,,,,,,,,,,,
A6,"Bé 0, (không rõ) muốn học k
PH muốn bé học","Lo ngại ứng dụng đánh giá sai về con, từ đó không dạy được đúng điều con cần",,,,,,,,,,,,,,,,
,,Lo ngại học ứng dụng không có nền tảng,,,,,,,,,,,,,,,,
,,Nghi ngờ khả năng hỗ trợ con tự học của bản thân,,,,,,,,,,,,,,,,
,,Không rõ con có thích học như thế này không?,,,,,,,,,,,,,,,,
,"Bé 0, muốn học
PH có muốn/ không biết",Không rõ con có kiên trì không?,,,,,,,,,,,,,,,,
,,Lo ngại mình không có kiến thức để giúp con lúc con gặp vấn đề,,,,,,,,,,,,,,,,
,,"Lo ngại lãng phí thời gian, cái app này không thật sự giúp con chơi được đàn",,,,,,,,,,,,,,,,
,,"Lo ngại lãng phí thời gian, ảnh hưởng việc học môn khác của con",,,,,,,,,,,,,,,,
,"Bé 0.25, (không rõ) muốn học k
PH muốn bé học tốt hơn",Ứng dụng online có tương đương với trình độ hiện tại của con không?,,,,,,,,,,,,,,,,
,,Không chắc chắn về hiệu quả bổ trợ? ,,,,,,,,,,,,,,,,
,,"E ngại con không hứng thú để học, không tiếp tục được",,,,,,,,,,,,,,,,
,"Bé 0.5
PH muốn bé học tốt hơn",Ứng dụng có dạy trình độ của con không?,,,,,,,,,,,,,,,,
